Identifier,name,iso_region,State Abbreviation,State,City,Wikipedia Description,type,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,column_13,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
KCMH,John Glenn Columbus International Airport,US-OH,OH,Ohio,Columbus,,large_airport,39.998001,-82.891899,815,NA,US,,yes,KCMH,CMH,KCMH,CMH,https://flycolumbus.com/,https://en.wikipedia.org/wiki/John_Glenn_Columbus_International_Airport,
KCMY,Sparta Fort McCoy Airport,US-WI,WI,Wisconsin,Sparta,,small_airport,43.958009,-90.737886,837,NA,US,,no,KCMY,CMY,KCMY,CMY,,https://en.wikipedia.org/wiki/Sparta/Fort_McCoy_Airport,
KCNO,Chino Airport,US-CA,CA,California,Chino,,small_airport,33.97470093,-117.637001,650,NA,US,,no,KCNO,CNO,KCNO,CNO,http://cms.sbcounty.gov/airports/Airports/Chino.aspx,https://en.wikipedia.org/wiki/Chino_Airport,
KCNW,TSTC Waco Airport,US-TX,TX,Texas,Waco,,small_airport,31.641129,-97.073335,470,NA,US,,no,KCNW,CNW,KCNW,CNW,http://www.waco.tstc.edu/airport,https://en.wikipedia.org/wiki/TSTC_Waco_Airport,James Connally AFB
KCNY,Canyonlands Regional Airport,US-UT,UT,Utah,Moab,,medium_airport,38.755001,-109.754997,4557,NA,US,,yes,KCNY,CNY,KCNY,CNY,https://www.grandcountyutah.net/263/Airport,https://en.wikipedia.org/wiki/Canyonlands_Field,
KCOD,Yellowstone Regional Airport,US-WY,WY,Wyoming,Cody,,medium_airport,44.520199,-109.024002,5102,NA,US,,yes,KCOD,COD,KCOD,COD,http://www.flyyra.com/,https://en.wikipedia.org/wiki/Yellowstone_Regional_Airport,
KCOE,Coeur D'Alene Airport - Pappy Boyington Field,US-ID,ID,Idaho,Coeur d'Alene,,medium_airport,47.7743,-116.82,2320,NA,US,,no,KCOE,COE,KCOE,COE,http://www.cdaairport.com/,https://en.wikipedia.org/wiki/Coeur_d'Alene_Airport,Coeur d'Alene Air Terminal
KCOI,Merritt Island Airport,US-FL,FL,Florida,Merritt Island,,small_airport,28.34160042,-80.6855011,6,NA,US,,no,KCOI,COI,KCOI,COI,,https://en.wikipedia.org/wiki/Merritt_Island_Airport,
KCON,Concord Municipal Airport,US-NH,NH,New Hampshire,Concord,,medium_airport,43.20270157,-71.50229645,342,NA,US,,no,KCON,CON,KCON,CON,http://www.concordnh.gov/facilities/facility/details/Concord-Municipal-Airport-31,https://en.wikipedia.org/wiki/Concord_Municipal_Airport,
KCOQ,Cloquet Carlton County Airport,US-MN,MN,Minnesota,Cloquet,,small_airport,46.701099,-92.503601,1279,NA,US,,no,,,KCOQ,COQ,,https://en.wikipedia.org/wiki/Cloquet_Carlton_County_Airport,
KCOS,City of Colorado Springs Municipal Airport,US-CO,CO,Colorado,Colorado Springs,,medium_airport,38.805801,-104.700996,6187,NA,US,,yes,KCOS,COS,KCOS,COS,https://flycos.coloradosprings.gov/,https://en.wikipedia.org/wiki/Colorado_Springs_Airport,
